NOMBRE;GRATUITO;FECHA;FECHA-FIN;HORA;NOMBRE-INSTALACION;latitude;longitude;DISTRITO
Concierto. Pablo Milans;0;2015-07-23;2015-07-23;21:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Programa Bandas al Fresco. Banda Sinfnica Municipal. 13 de septiembre;1;2015-09-13;2015-09-13;12:00;Jardines de El Buen Retiro;40.41964087412762;-3.68793370943788;RETIRO
Concierto. Programa Bandas al Fresco. Banda Sinfnica Municipal. 26 de julio;1;2015-07-26;2015-07-26;00:00;Jardines de El Buen Retiro;40.41964087412762;-3.68793370943788;RETIRO
Concierto. Programa Veranos de la Villa. Banda Sinfnica Municipal. 23 de julio;0;2015-07-23;2015-07-23;21:30;Centro Conde Duque;40.427938443518215;-3.710240346719518;CENTRO
Concierto. Programa Veranos de la Villa. Banda Sinfnica Municipal. 26 de julio;0;2015-07-26;2015-07-26;21:30;Centro Conde Duque;40.427938443518215;-3.710240346719518;CENTRO
Concierto. Raimundo Amador;0;2015-07-31;2015-07-31;21:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Rosario;0;2015-07-22;2015-07-22;21:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Royal Southern Brotherhood y Aurora and the Betrayers;0;2015-07-24;2015-07-24;20:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Sly And Robbie Meet Peter Niels Molvaer;0;2015-07-26;2015-07-26;20:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Sufjan Stevens;0;2015-09-30;2015-09-30;19:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Wim Mertens;0;2015-07-25;2015-07-25;21:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Conferencia. Embajadores y Lavapis en el siglo XVIII;0;2015-09-23;2015-09-23;11:00;Centro Sociocultural Lavapis (Centro);40.40966697102759;-3.701574291636879;CENTRO
Conferencia. Lavapis y Embajadores a comienzos del siglo XIX;0;2015-10-07;2015-10-07;11:00;Centro Sociocultural Lavapis (Centro);40.40966697102759;-3.701574291636879;CENTRO
Conferencia. Reformas internas y ensanche de Madrid liberal;0;2015-10-21;2015-10-21;11:00;Centro Sociocultural Lavapis (Centro);40.40966697102759;-3.701574291636879;CENTRO
Cuentos infantiles;1;2015-10-22;2015-10-22;18:00;Biblioteca Pblica Municipal Pablo Neruda (Ciudad Lineal);40.42941133441142;-3.6416899839787695;CIUDAD LINEAL
Cuentos infantiles;1;2015-10-16;2015-10-16;18:00;Biblioteca Pblica Municipal Jos Hierro (San Blas-Canillejas);40.433291625973624;-3.6105662311927453;SAN BLAS-CANILLEJAS
Cuentos infantiles;1;2015-10-01;2015-10-01;18:00;Biblioteca Pblica Municipal Ana Mara Matute (Carabanchel);40.3975850662447;-3.7207386328562357;CARABANCHEL
Cuentos infantiles;1;2015-10-07;2015-10-07;18:00;Biblioteca Pblica Municipal Ivn de Vargas (Centro);40.41410290844665;-3.7098591212735883;CENTRO
Cuentos infantiles;1;2015-10-06;2015-10-06;18:00;Biblioteca Pblica Municipal Angel Gonzlez (Latina);40.397074625115906;-3.7664885474841556;LATINA
Curso de mecnica bsica para bicicletas;0;2013-12-04;2016-04-13;00:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Danza. Gran Gala Tchaikovsky. Fernn Gmez;0;2015-10-28;2015-11-01;00:00;Fernn Gmez. Centro Cultural de la Villa;40.424926347610764;-3.6899208519663427;SALAMANCA
Exposicin audiovisual. Feminis-Arte III, videoarte de mujeres artistas desde perspectiva de gnero;0;2015-02-20;2015-08-16;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin Cervantes a la luz: imgenes del hallazgo.;1;2015-04-22;2015-09-27;09:30;Museo de Historia de Madrid;40.42577054821346;-3.700845660719608;CENTRO
Exposicin de maletas ilustradas FLIC.;1;2015-10-05;2015-10-26;08:30;Biblioteca Pblica Municipal Miguel Delibes (Moratalaz);40.40971737692924;-3.6529822109115133;MORATALAZ
